# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
     254 -0.11714704E+02 -0.83090795E+01  0.34056246E+01  0.34281905E+01
     255 -0.11715000E+02 -0.83091817E+01  0.34058179E+01  0.34281905E+01
     256 -0.11715338E+02 -0.83092900E+01  0.34060482E+01  0.34281905E+01
     257 -0.11715738E+02 -0.83094162E+01  0.34063217E+01  0.34281905E+01
     258 -0.11715964E+02 -0.83094874E+01  0.34064763E+01  0.34281905E+01
     259 -0.11716259E+02 -0.83095887E+01  0.34066701E+01  0.34281905E+01
     260 -0.11716413E+02 -0.83096397E+01  0.34067731E+01  0.34281905E+01
     261 -0.11716832E+02 -0.83097402E+01  0.34070913E+01  0.34281905E+01
     262 -0.11717053E+02 -0.83097995E+01  0.34072538E+01  0.34281905E+01
     263 -0.11717302E+02 -0.83098754E+01  0.34074263E+01  0.34281905E+01
     264 -0.11717595E+02 -0.83099638E+01  0.34076308E+01  0.34281905E+01
     265 -0.11717856E+02 -0.83100312E+01  0.34078243E+01  0.34281905E+01
     266 -0.11718181E+02 -0.83101077E+01  0.34080736E+01  0.34281905E+01
     267 -0.11718540E+02 -0.83102009E+01  0.34083391E+01  0.34281905E+01
     268 -0.11718702E+02 -0.83102550E+01  0.34084470E+01  0.34281905E+01
     269 -0.11718894E+02 -0.83103130E+01  0.34085809E+01  0.34281905E+01
     270 -0.11719079E+02 -0.83103704E+01  0.34087085E+01  0.34281905E+01
     271 -0.11719274E+02 -0.83104280E+01  0.34088461E+01  0.34281905E+01
     272 -0.11719535E+02 -0.83104915E+01  0.34090432E+01  0.34281905E+01
     273 -0.11719733E+02 -0.83105474E+01  0.34091860E+01  0.34281905E+01
     274 -0.11719884E+02 -0.83106015E+01  0.34092822E+01  0.34281905E+01
     275 -0.11720067E+02 -0.83106508E+01  0.34094160E+01  0.34281905E+01
     276 -0.11720223E+02 -0.83106977E+01  0.34095250E+01  0.34281905E+01
     277 -0.11720446E+02 -0.83107537E+01  0.34096920E+01  0.34281905E+01
     278 -0.11720634E+02 -0.83108069E+01  0.34098274E+01  0.34281905E+01
     279 -0.11720842E+02 -0.83108599E+01  0.34099820E+01  0.34281905E+01
     280 -0.11721023E+02 -0.83109062E+01  0.34101164E+01  0.34281905E+01
     281 -0.11721223E+02 -0.83109615E+01  0.34102615E+01  0.34281905E+01
     282 -0.11721377E+02 -0.83109932E+01  0.34103841E+01  0.34281905E+01
     283 -0.11721518E+02 -0.83110306E+01  0.34104871E+01  0.34281905E+01
